report_date_as_yyyy_mm_dd,cftc_contract_market_code,market_and_exchange_names,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all,noncomm_net,comm_net,nonrept_net,rsi_noncomm_net,rsi_comm_net,rsi_nonrept_net,ci_noncomm_net,ci_comm_net,ci_nonrept_net,cot_signal
2006-01-03,88691,GOLD - COMMODITY EXCHANGE INC.,325524,180688,29726,51741,239049,58381,22035,150962,-187308,36346,,,,,,,0
2006-01-10,88691,GOLD - COMMODITY EXCHANGE INC.,343419,184408,38602,59932,240141,61809,27406,145806,-180209,34403,0.0,,0.0,,,,0
2006-01-17,88691,GOLD - COMMODITY EXCHANGE INC.,361704,191650,43171,66156,248147,65404,31892,148479,-181991,33512,3.8349521527668173,98.10564585570167,0.0,,,,0
2006-01-24,88691,GOLD - COMMODITY EXCHANGE INC.,356080,188928,46079,63004,238009,64709,32553,142849,-175005,32156,3.528057238411151,98.24593151667183,0.0,,,,0
2006-01-31,88691,GOLD - COMMODITY EXCHANGE INC.,339645,187406,48156,63986,231268,54985,26953,139250,-167282,28032,3.343838754455831,98.38804857146573,0.0,,,,0
2006-02-07,88691,GOLD - COMMODITY EXCHANGE INC.,341727,180971,53622,67909,222347,55271,28182,127349,-154438,27089,2.8195569918424184,98.59231791053644,0.0,,,,0
2006-02-14,88691,GOLD - COMMODITY EXCHANGE INC.,338143,167910,48996,71566,220771,54583,24292,118914,-149205,30291,2.518190898069392,98.6664644604534,11.37038608745624,,,,0
2006-02-21,88691,GOLD - COMMODITY EXCHANGE INC.,333410,163886,45202,69049,219002,55325,24056,118684,-149953,31269,2.5103119427761698,97.87289609148377,14.565672746708316,,,,0
2006-02-28,88691,GOLD - COMMODITY EXCHANGE INC.,339859,169963,42593,69177,226038,54473,24982,127370,-156861,29491,13.515443114439094,90.62366694078638,13.605347817660174,,,,0
2006-03-07,88691,GOLD - COMMODITY EXCHANGE INC.,338325,167144,46255,71482,221233,53527,24665,120889,-149751,28862,12.39144549052267,91.33504074537218,13.271977548920773,,,,0
2006-03-14,88691,GOLD - COMMODITY EXCHANGE INC.,322360,143697,47757,78233,208569,55786,21390,95940,-130336,34396,9.214538512031723,92.91562860403683,29.61311108251249,,,,0
2006-03-21,88691,GOLD - COMMODITY EXCHANGE INC.,319618,149946,45682,72080,207882,55025,23487,104264,-135802,31538,16.872139658232143,88.04618250200437,26.80422724421095,,,,0
2006-03-28,88691,GOLD - COMMODITY EXCHANGE INC.,334042,163056,42470,66109,215821,61431,32305,120586,-149712,29126,29.439991349319612,76.98861750623975,24.67687382138189,,,,0
2006-04-04,88691,GOLD - COMMODITY EXCHANGE INC.,342721,178040,45832,60499,231414,65835,27128,132208,-170915,38707,36.77038297205872,63.829537321251635,43.76821520142346,,,,0
2006-04-11,88691,GOLD - COMMODITY EXCHANGE INC.,342632,175000,50668,62155,228104,59508,17891,124332,-165949,41617,34.178967703281515,65.32445208072866,48.07315310480198,,,,0
2006-04-18,88691,GOLD - COMMODITY EXCHANGE INC.,353757,177870,47576,58342,230866,62897,20667,130294,-172524,42230,37.75510003465974,61.68911543892327,48.95959706690968,,,,0
2006-04-25,88691,GOLD - COMMODITY EXCHANGE INC.,354108,175346,45968,62298,229153,60792,23315,129378,-166855,37477,37.41872322906291,63.57148836968427,42.851358977591396,,,,0
2006-05-02,88691,GOLD - COMMODITY EXCHANGE INC.,359539,177709,47421,60931,232651,62728,21296,130288,-171720,41432,38.009611510052615,60.81014387280855,48.59808839728931,,,,0
2006-05-09,88691,GOLD - COMMODITY EXCHANGE INC.,351933,175709,41773,61535,232868,60531,23134,133936,-171333,37397,40.43751751066205,60.955432503945005,43.76300758369992,,,,0
