report_date_as_yyyy_mm_dd,cftc_contract_market_code,market_and_exchange_names,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all,noncomm_net,comm_net,nonrept_net,rsi_noncomm_net,rsi_comm_net,rsi_nonrept_net,ci_noncomm_net,ci_comm_net,ci_nonrept_net,cot_signal
2006-01-03,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1066114,202214,281600,542526,670911,308863,101092,-79386,-128385,207771,,,,,,,0
2006-01-10,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1140746,191126,318972,612184,690162,323152,117328,-127846,-77978,205824,0.0,,0.0,,,,0
2006-01-17,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1151070,184738,325812,588733,691867,357890,113682,-141074,-103134,244208,0.0,96.30301845698489,60.26218698484967,,,,0
2006-01-24,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1151254,198593,355078,599666,675465,340138,107854,-156485,-75799,232284,0.0,96.4563258973478,50.15141144817286,,,,0
2006-01-31,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1216719,237561,361937,604909,734487,361673,107719,-124376,-129578,253954,5.342399839701628,88.66606977790572,62.473819171673426,,,,0
2006-02-07,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1183852,239465,434355,578985,621129,351417,114383,-194890,-42144,237034,4.74311499215996,90.07021825145478,51.72277478240516,,,,0
2006-02-14,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1156131,224169,413121,580388,619559,335236,107113,-188952,-39171,228123,5.702398723071383,90.11506238895296,47.12338856539801,,,,0
2006-02-21,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1203221,222747,431755,607443,642372,358812,114875,-209008,-34929,243937,5.500899567500042,90.18318589291884,54.804336247710786,,,,0
2006-02-28,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1220242,252103,434187,637835,643158,311855,124448,-182084,-5323,187407,10.09378194370484,90.66663953731184,35.148836829702844,,,,0
2006-03-07,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1351728,247771,397818,767000,787228,292157,121882,-150047,-20228,170275,15.364926966643537,88.30874216201104,31.465681256241623,,,,0
2006-03-14,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1703932,257022,388229,1020940,1022051,363013,230695,-131207,-1111,132318,18.394950548960338,88.71414275118686,25.172109181304705,,,,0
2006-03-21,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1181330,219294,282984,537607,756134,406641,124424,-63690,-218527,282217,28.30150431424387,62.26876248125774,59.56672786943133,,,,0
2006-03-28,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1141244,162646,301486,559933,699649,400131,121575,-138840,-139716,278556,24.706370572442722,66.20181994269423,58.855190940799154,,,,0
2006-04-04,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1151679,202834,315377,622999,705464,314803,119795,-112543,-82465,195008,28.146050862992524,68.75016315304212,45.498192929734,,,,0
2006-04-11,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1179131,173993,372905,713454,667279,278217,125480,-198912,46175,152737,24.2307660608558,73.5719439226534,40.49121123283633,,,,0
2006-04-18,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1201932,189188,378535,696504,680509,292248,118896,-189347,15995,173352,25.467295715190957,70.8114237801305,43.74272819285744,,,,0
2006-04-25,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1265060,198252,438196,769143,689209,277256,117246,-239944,79934,160010,23.301032241830967,73.11313162499077,42.13800131854009,,,,0
2006-05-02,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1307160,213579,425888,800917,735852,275048,127804,-212309,65065,147244,26.95558988840527,71.6972070163424,40.60312526722076,,,,0
2006-05-09,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1361264,247863,432321,806744,789049,284274,117511,-184458,17695,166763,30.547293409301247,67.23021139241074,43.964011577357056,,,,0
2006-05-16,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1369005,207357,423150,853835,789452,272651,121241,-215793,64383,151410,28.829674463526302,69.26286441780276,41.95318094876876,,,,0
2006-05-23,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1475797,196500,453312,974775,854980,262549,125532,-256812,119795,137017,26.712264986229712,71.52074743357497,40.10143725134923,,,,0
2006-05-30,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1493600,217857,438229,1012748,888429,223805,127752,-220372,124319,96053,31.523790667642828,71.70350448811337,35.322773313532934,,,,0
2006-06-06,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1578088,229749,479507,1099351,910826,201269,140036,-249758,188525,61233,29.823375040291296,74.23094931639105,31.84862516892764,,,,0
2006-06-13,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2042655,235392,470466,1102367,1260610,556711,163394,-235074,-158243,393317,31.802945015742637,48.85177599234466,66.09682618200975,,,,0
2006-06-20,13874A,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1293970,192329,380103,675620,757400,406720,137166,-187774,-81780,269554,37.88150560169813,52.692552006802266,55.003090917531935,,,,0
